entry_year,status,course_name,normalized_course_name,baseline_grade,baseline_semester,baseline_course_code,baseline_completion_type,baseline_credits,flowchart_grade,flowchart_semester,flowchart_course_name,reason
2024,MATCH,약학기초생물학2,약학기초생물학2,1,2,ADB005,전선,3,1,2,약학기초생물학2,same_name_same_position
2024,MATCH,약학기초화학2,약학기초화학2,1,2,ADB006,전선,3,1,2,약학기초화학2,same_name_same_position
2024,MATCH,해부생리학2,해부생리학2,1,2,ADB102,전선,2,1,2,해부생리학2,same_name_same_position
2024,MATCH,물리약학1,물리약학1,2,1,ADB010,전필,3,2,1,물리약학1,same_name_same_position
2024,MATCH,병태생리학1,병태생리학1,2,1,ADB007,전선,2,2,1,병태생리학1,same_name_same_position
2024,MATCH,약용식물학,약용식물학,2,1,ADB049,전필,2,2,1,약용식물학,same_name_same_position
2024,MATCH,약품생화학1,약품생화학1,2,1,ADB008,전필,3,2,1,약품생화학1,same_name_same_position
2024,MATCH,약학실험1,약학실험1,2,1,ADB013,전필,2,2,1,약학실험1,same_name_same_position
2024,MATCH,약학통계,약학통계,2,1,ADB012,전필,2,2,1,약학통계,same_name_same_position
2024,MATCH,약화학 1,약화학1,2,1,ADB009,전필,3,2,1,약화학1,same_name_same_position
2024,MATCH,의약품분석학1,의약품분석학1,2,1,ADB011,전필,2,2,1,의약품분석학1,same_name_same_position
2024,MATCH,물리약학2,물리약학2,2,2,ADB019,전필,2,2,2,물리약학2,same_name_same_position
2024,MATCH,병태생리학2,병태생리학2,2,2,ADB015,전선,2,2,2,병태생리학2,same_name_same_position
2024,MATCH,약품면역학,약품면역학,2,2,ADB021,전필,2,2,2,약품면역학,same_name_same_position
2024,MATCH,약품생화학2,약품생화학2,2,2,ADB016,전필,2,2,2,약품생화학2,same_name_same_position
2024,MATCH,약학실험2,약학실험2,2,2,ADB022,전필,2,2,2,약학실험2,same_name_same_position
2024,MATCH,약화학 2,약화학2,2,2,ADB018,전선,3,2,2,약화학2,same_name_same_position
2024,MATCH,의약분자생물학,의약분자생물학,2,2,ADB017,전선,2,2,2,의약분자생물학,same_name_same_position
2024,MATCH,의약품개발사,의약품개발사,2,2,ADB105,전선,2,2,2,의약품개발사,same_name_same_position
2024,MATCH,의약품분석학2,의약품분석학2,2,2,ADB020,전필,2,2,2,의약품분석학2,same_name_same_position
2024,MATCH,보건사회약학,보건사회약학,3,1,ADB029,전필,3,3,1,보건사회약학,same_name_same_position
2024,MATCH,생약학1,생약학1,3,1,ADB026,전필,2,3,1,생약학1,same_name_same_position
